id,หน่วยงาน,เลขที่บันทึกข้อความ,วันที่ขออนุมัติ,ชื่อสินค้า,รหัส/ลำดับสินค้า,หมวด,ประเภท,ประเภทย่อย,จำนวนที่ขออนุมัติ,หน่วยนับ,ราคาต่อหน่วย,มูลค่าที่ขออนุมัติ,กรณีเกิน/นอกแผน (over supply),ผู้ขอความเห็นชอบ,ผู้เห็นชอบ
A230671016001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,16/10/2567,เครื่องคิดเลข ชนิด 2 ระบบ แบบ 12 หลัก,P230-000460,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,1,อัน,"3,550.00","3,550.00",จำนวน วงเงิน ราคา,,
A230671016002,กลุ่มงานประกันสุขภาพ,พล 0733.301/ พิเศษ,16/10/2567,Ram BUS 2666 DDR4 ขนาด 4 Gb,P230-001202,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,1,อัน,850,850,จำนวน วงเงิน,,
A230671016003,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,16/10/2567,เครื่องเย็บกระดาษ ขนาด NO.35,P230-000463,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,12,อัน,170,"2,040.00",จำนวน วงเงิน,,
A230671016003,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,16/10/2567,เครื่องเย็บกระดาษ ขนาด NO.10,P230-000462,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,12,อัน,60,720,จำนวน วงเงิน,,
A230671016003,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,16/10/2567,ลวดเสียบกระดาษ ขนาดใหญ่ เบอร์ 0,P230-000551,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,120,กล่อง,14,"1,680.00",จำนวน วงเงิน ราคา,,
A230671016003,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,16/10/2567,กระดาษถ่ายเอกสาร ขนาด A4,P230-000437,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,200,รีม,105,"21,000.00",จำนวน วงเงิน ราคา,,
A230671016003,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,16/10/2567,เทปพิมพ์,P230-001042,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,2,ม้วน,600,"1,200.00",จำนวน วงเงิน,,
A230671016003,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,16/10/2567,ลวดเสียบกระดาษ ขนาดเล็ก เบอร์ 1,P230-000550,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,120,กล่อง,6,720,จำนวน วงเงิน ราคา,,
A230671016003,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,16/10/2567,กระดาษโรเนียว หนา 70 แกรม ขนาด A4 สีขาว,P230-000447,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,100,รีม,115,"11,500.00",จำนวน วงเงิน,,
A230671016003,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,16/10/2567,กรรไกร ขนาด 8 นิ้ว,P230-000422,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,12,อัน,70,840,จำนวน วงเงิน,,
A230671016003,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,16/10/2567,กระดาษการ์ด หนา 120 แกรม ขนาด A4 สีเหลือง,P230-000428,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,12,ห่อ,90,"1,080.00",จำนวน วงเงิน,,
A230671016003,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,16/10/2567,กระดาษการ์ด หนา 120 แกรม ขนาด A4 สีฟ้า,P230-000427,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,12,ห่อ,90,"1,080.00",จำนวน วงเงิน,,
