id,stock_id,รับเข้า,วันที่รับเข้า/จ่ายออก,หมวด,ประเภท,ประเภทย่อย,รหัสสินค้า,ชื่อสินค้า,รูปสินค้า,หน่วย,lot สินค้า,ราคาสินค้า,รับเข้าจากบริษัท,เลขที่บิลรับเข้า,แผนกที่เบิกจ่าย,เลขที่ใบเบิก,จำนวนโควต้าเบิก,จำนวนยกมา,มูลค่ายกมา,ราคารับเข้า/จ่ายออก,จำนวนรับเข้า/จ่ายออก,มูลค่ารับเข้า/จ่ายออก,จำนวนคงเหลือ,มูลค่าคงเหลือ,สถานะคงคลัง
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,P230-000001,ขวาน ชนิดเหล็ก แบบด้ามไม้,,อัน,,200,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,P230-000002,ด้ามขวาน ชนิดไม้,,อัน,,100,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,P230-000003,ประกับ สำหรับเครื่องตัดหญ้า,,อัน,,230,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,P230-000004,มีด ชนิดเหล็ก แบบด้ามไม้,,เล่ม,,250,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,P230-000005,สายเอ็น สำหรับเครื่องตัดหญ้า,,ม้วน,,630,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,P230-000006,เข่ง ไม้ไผ่,,ใบ,,120,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,P230-000007,ครัช สำหรับเครื่องตัดหญ้า,,อัน,,680,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,P230-000008,ถ้วยรองใบมีด สำหรับเครื่องตัดหญ้า,,อัน,,480,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,P230-000009,จานรองประกับใบตัด สำหรับเครื่องตัดหญ้า,,อัน,,70,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,P230-000010,จานสตาร์ท สำหรับเครื่องตัดหญ้า,,อัน,,350,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
