รหัสสินค้า,หมวดสินค้า,ชื่อสินค้า,ประเภทสินค้า,ประเภทสินค้าย่อย,หน่วยนับ,ราคาทุนต่อหน่วย,ราคาขายต่อหน่วย,ยอดยกมา,มูลค่ายกมา,รหัสร้านค้า,รูปสินค้า,flag_activate,admin_note
P230-000001,วัสดุใช้ไป,ขวาน ชนิดเหล็ก แบบด้ามไม้,วัสดุการเกษตร,วัสดุการเกษตร,อัน,200,,0,0,,,TRUE,
P230-000002,วัสดุใช้ไป,ด้ามขวาน ชนิดไม้,วัสดุการเกษตร,วัสดุการเกษตร,อัน,100,,0,0,,,TRUE,
P230-000003,วัสดุใช้ไป,ประกับ สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,230,,0,0,,,TRUE,
P230-000004,วัสดุใช้ไป,มีด ชนิดเหล็ก แบบด้ามไม้,วัสดุการเกษตร,วัสดุการเกษตร,เล่ม,250,,0,0,,,TRUE,
P230-000005,วัสดุใช้ไป,สายเอ็น สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,ม้วน,630,,0,0,,,TRUE,
P230-000006,วัสดุใช้ไป,เข่ง ไม้ไผ่,วัสดุการเกษตร,วัสดุการเกษตร,ใบ,120,,0,0,,,TRUE,
P230-000007,วัสดุใช้ไป,ครัช สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,680,,0,0,,,TRUE,
P230-000008,วัสดุใช้ไป,ถ้วยรองใบมีด สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,480,,0,0,,,TRUE,
P230-000009,วัสดุใช้ไป,จานรองประกับใบตัด สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,70,,0,0,,,TRUE,
P230-000010,วัสดุใช้ไป,จานสตาร์ท สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,350,,0,0,,,TRUE,
P230-000011,วัสดุใช้ไป,ลูกยางกดน้ำมัน สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,ลูก,50,,0,0,,,TRUE,
P230-000012,วัสดุใช้ไป,โซ่ สำหรับเลื่อยยนต์ ขนาด 11.5 นิ้ว,วัสดุการเกษตร,วัสดุการเกษตร,เส้น,630,,0,0,,,TRUE,
P230-000013,วัสดุใช้ไป,กรรไกร ชนิดตัดต้นไม้ต่ำ สำหรับตัดแต่งกิ่ง,วัสดุการเกษตร,วัสดุการเกษตร,อัน,300,,0,0,,,TRUE,
P230-000014,วัสดุใช้ไป,จาระบี สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,กระปุก,120,,0,0,,,TRUE,
P230-000015,วัสดุใช้ไป,ใบมีด สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,100,,0,0,,,TRUE,
P230-000016,วัสดุใช้ไป,เลื่อย ชนิดขอชัก สำหรับตัดแต่งกิ่ง,วัสดุการเกษตร,วัสดุการเกษตร,อัน,300,,0,0,,,TRUE,
P230-000017,วัสดุใช้ไป,สายยาง สำหรับรดน้ำต้นไม้ ขนาด 5/8 นิ้ว,วัสดุการเกษตร,วัสดุการเกษตร,เส้น,360,,0,0,,,TRUE,
P230-000018,วัสดุใช้ไป,สายสะพาย สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,160,,0,0,,,TRUE,
P230-000019,วัสดุใช้ไป,หัวเทียน สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,30,,0,0,,,TRUE,
P230-000020,วัสดุใช้ไป,คีย์บอร์ด แบบ USB,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,อัน,320,,1,320,,,TRUE,
P230-000021,วัสดุใช้ไป,ซองใส่ CD แบบใส (50 ซอง/แพค),วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,แพค,70,,9,630,,,TRUE,
P230-000022,วัสดุใช้ไป,ผ้าหมึก Printer ชนิดแคร่สั้น แบบ LQ300,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,170,,8,"1,360.00",,,TRUE,
P230-000023,วัสดุใช้ไป,ผ้าหมึก Printer ชนิดแคร่สั้น แบบ LQ310,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,150,,44,"6,600.00",,,TRUE,
P230-000024,วัสดุใช้ไป,แผ่น CD-R (50 ซอง/แพค),วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หลอด,280,,9,"2,520.00",,,TRUE,
P230-000025,วัสดุใช้ไป,เม้าท์ แบบ USB,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,อัน,250,,0,0,,,TRUE,
P230-000026,วัสดุใช้ไป,สาย LAN,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,"3,950.00",,0,0,,,TRUE,
P230-000027,วัสดุใช้ไป,หมึก Printer Ink jet GT53 สีดำ,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,390,,5,"1,950.00",,,TRUE,
P230-000028,วัสดุใช้ไป,หมึก Printer Ink jet GT52 สีชมพู,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,390,,7,"2,730.00",,,TRUE,
P230-000029,วัสดุใช้ไป,หมึก Printer Ink jet GT52 สีฟ้า,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,390,,7,"2,730.00",,,TRUE,
P230-000030,วัสดุใช้ไป,หมึก Printer Ink jet GT52 สีเหลือง,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,390,,7,"2,730.00",,,TRUE,
P230-000031,วัสดุใช้ไป,หมึก Printer Ink jet L5190 สีชมพู,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,350,,4,"1,400.00",,,TRUE,
P230-000032,วัสดุใช้ไป,หมึก Printer Ink jet L5190 สีดำ,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,350,,3,"1,050.00",,,TRUE,
P230-000033,วัสดุใช้ไป,หมึก Printer Ink jet L5190 สีฟ้า,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,350,,2,700,,,TRUE,
P230-000034,วัสดุใช้ไป,หมึก Printer Ink jet L5190 สีเหลือง,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,350,,2,700,,,TRUE,
P230-000035,วัสดุใช้ไป,หมึก Printer Ink jet T6641 สีดำ,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,290,,3,870,,,TRUE,
P230-000036,วัสดุใช้ไป,หมึก Printer Ink jet T6641 สีฟ้า,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,290,,3,870,,,TRUE,
P230-000037,วัสดุใช้ไป,หมึก Printer Ink jet T6641 สีชมพู,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,290,,3,870,,,TRUE,
P230-000038,วัสดุใช้ไป,หมึก Printer Ink jet T6641 สีเหลือง,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,290,,3,870,,,TRUE,
P230-000039,วัสดุใช้ไป,ยกเลิก หมึก Printer Ink jet T7741 สีดำ,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,700,,0,0,,,FALSE,
P230-000040,วัสดุใช้ไป,หมึก Printer Laser 107A,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,990,,0,0,,,TRUE,
P230-000041,วัสดุใช้ไป,หมึก Printer Laser 225,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,430,,0,0,,,TRUE,
P230-000042,วัสดุใช้ไป,หมึก Printer Laser 30A,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,890,,10,"8,900.00",,,TRUE,
P230-000043,วัสดุใช้ไป,หมึก Printer Laser 355,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,670,,0,0,,,TRUE,
P230-000044,วัสดุใช้ไป,หมึก Printer Laser 472,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,980,,6,"5,880.00",,,TRUE,
P230-000045,วัสดุใช้ไป,หมึก Printer Laser 48A,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,"1,190.00",,0,0,,,TRUE,
P230-000046,วัสดุใช้ไป,หมึก Printer Laser 79A,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,690,,0,0,,,TRUE,
