id,หมวด,ประเภท,ประเภทย่อย,ชื่อสินค้า,จำนวนที่ต้องการใช้,หน่วยนับ,ราคาต่อหน่วย,คนที่ต้องการใช้(แผนก),จำนวนที่อนุมัติให้ใช้ได้ในปีงบนั้นๆ (โควต้า)
P230-000001,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,ขวาน ชนิดเหล็ก แบบด้ามไม้,1,อัน,200,กลุ่มงานบริหารทั่วไป,1
P230-000002,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,ด้ามขวาน ชนิดไม้,0,อัน,100,กลุ่มงานบริหารทั่วไป,0
P230-000003,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,ประกับ สำหรับเครื่องตัดหญ้า,2,อัน,230,กลุ่มงานบริหารทั่วไป,2
P230-000004,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,มีด ชนิดเหล็ก แบบด้ามไม้,2,เล่ม,250,กลุ่มงานบริหารทั่วไป,2
P230-000005,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,สายเอ็น สำหรับเครื่องตัดหญ้า,4,ม้วน,630,กลุ่มงานบริหารทั่วไป,4
P230-000006,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,เข่ง ไม้ไผ่,8,ใบ,120,กลุ่มงานบริหารทั่วไป,8
P230-000007,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,ครัช สำหรับเครื่องตัดหญ้า,0,อัน,680,กลุ่มงานบริหารทั่วไป,0
P230-000008,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,ถ้วยรองใบมีด สำหรับเครื่องตัดหญ้า,0,อัน,480,กลุ่มงานบริหารทั่วไป,0
P230-000009,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,จานรองประกับใบตัด สำหรับเครื่องตัดหญ้า,0,อัน,70,กลุ่มงานบริหารทั่วไป,0
P230-000010,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,จานสตาร์ท สำหรับเครื่องตัดหญ้า,0,อัน,350,กลุ่มงานบริหารทั่วไป,0
P230-000011,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,ลูกยางกดน้ำมัน สำหรับเครื่องตัดหญ้า,0,ลูก,50,กลุ่มงานบริหารทั่วไป,0
P230-000012,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,โซ่ สำหรับเลื่อยยนต์ ขนาด 11.5 นิ้ว,3,เส้น,630,กลุ่มงานบริหารทั่วไป,3
P230-000013,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,กรรไกร ชนิดตัดต้นไม้ต่ำ สำหรับตัดแต่งกิ่ง,4,อัน,300,กลุ่มงานบริหารทั่วไป,4
P230-000014,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,จาระบี สำหรับเครื่องตัดหญ้า,1,กระปุก,120,กลุ่มงานบริหารทั่วไป,1
P230-000015,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,ใบมีด สำหรับเครื่องตัดหญ้า,10,อัน,100,กลุ่มงานบริหารทั่วไป,10
P230-000016,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,เลื่อย ชนิดขอชัก สำหรับตัดแต่งกิ่ง,2,อัน,300,กลุ่มงานบริหารทั่วไป,2
P230-000017,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,สายยาง สำหรับรดน้ำต้นไม้ ขนาด 5/8 นิ้ว,3,เส้น,360,กลุ่มงานบริหารทั่วไป,3
P230-000018,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,สายสะพาย สำหรับเครื่องตัดหญ้า,2,อัน,160,กลุ่มงานบริหารทั่วไป,2
P230-000019,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,หัวเทียน สำหรับเครื่องตัดหญ้า,2,อัน,30,กลุ่มงานบริหารทั่วไป,2
P230-000020,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,คีย์บอร์ด แบบ USB,20,อัน,320,กลุ่มงานบริหารทั่วไป,20
P230-000021,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ซองใส่ CD แบบใส (50 ซอง/แพค),0,แพค,70,กลุ่มงานบริหารทั่วไป,0
P230-000022,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ผ้าหมึก Printer ชนิดแคร่สั้น แบบ LQ300,0,กล่อง,170,กลุ่มงานบริหารทั่วไป,0
P230-000023,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ผ้าหมึก Printer ชนิดแคร่สั้น แบบ LQ310,10,กล่อง,150,กลุ่มงานบริหารทั่วไป,10
P230-000024,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,แผ่น CD-R (50 ซอง/แพค),0,หลอด,280,กลุ่มงานบริหารทั่วไป,0
P230-000025,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,เม้าท์ แบบ USB,22,อัน,250,กลุ่มงานบริหารทั่วไป,22
P230-000026,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,สาย LAN,1,กล่อง,"3,950.00",กลุ่มงานบริหารทั่วไป,1
P230-000027,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Ink jet GT53 สีดำ,1,ขวด,390,กลุ่มงานบริหารทั่วไป,1
P230-000028,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Ink jet GT52 สีชมพู,0,ขวด,390,กลุ่มงานบริหารทั่วไป,0
P230-000029,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Ink jet GT52 สีฟ้า,0,ขวด,390,กลุ่มงานบริหารทั่วไป,0
P230-000030,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Ink jet GT52 สีเหลือง,0,ขวด,390,กลุ่มงานบริหารทั่วไป,0
P230-000031,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Ink jet L5190 สีชมพู,0,กล่อง,350,กลุ่มงานบริหารทั่วไป,0
