รหัสสินค้า,หมวดสินค้า,ชื่อสินค้า,ประเภทสินค้า,ประเภทสินค้าย่อย,หน่วยนับ,ราคาต่อหน่วยนับ,ปีงบประมาณ,รายการลำดับที่ id ในปีงบนั้น,รายการในแผน/นอกแผน,จำนวนยกยอดมา,มูลค่ายกยอดมา,จำนวนที่ต้องการใช้ในปี,มูลค่ารวมที่ต้องใช้ในปี,จำนวนที่ต้องซื้อเพิ่มในปี,มูลค่าที่ต้องซื้อเพิ่มในปี(บาท),หน่วยงานที่มีหน้าที่จัดซื้อ
P230-000001,วัสดุใช้ไป,ขวาน ชนิดเหล็ก แบบด้ามไม้,วัสดุการเกษตร,วัสดุการเกษตร,อัน,200.00,2568,1,ในแผน,0.00,0.00,1.00,200.00,1.00,200.00,กลุ่มงานบริหารทั่วไป
P230-000002,วัสดุใช้ไป,ด้ามขวาน ชนิดไม้,วัสดุการเกษตร,วัสดุการเกษตร,อัน,100.00,2568,2,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000003,วัสดุใช้ไป,ประกับ สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,230.00,2568,3,ในแผน,0.00,0.00,2.00,460.00,2.00,460.00,กลุ่มงานบริหารทั่วไป
P230-000004,วัสดุใช้ไป,มีด ชนิดเหล็ก แบบด้ามไม้,วัสดุการเกษตร,วัสดุการเกษตร,เล่ม,250.00,2568,4,ในแผน,0.00,0.00,2.00,500.00,2.00,500.00,กลุ่มงานบริหารทั่วไป
P230-000005,วัสดุใช้ไป,สายเอ็น สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,ม้วน,630.00,2568,5,ในแผน,0.00,0.00,4.00,"2,520.00",4.00,"2,520.00",กลุ่มงานบริหารทั่วไป
P230-000006,วัสดุใช้ไป,เข่ง ไม้ไผ่,วัสดุการเกษตร,วัสดุการเกษตร,ใบ,120.00,2568,6,ในแผน,0.00,0.00,8.00,960.00,8.00,960.00,กลุ่มงานบริหารทั่วไป
P230-000007,วัสดุใช้ไป,ครัช สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,680.00,2568,7,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000008,วัสดุใช้ไป,ถ้วยรองใบมีด สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,480.00,2568,8,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000009,วัสดุใช้ไป,จานรองประกับใบตัด สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,70.00,2568,9,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000010,วัสดุใช้ไป,จานสตาร์ท สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,350.00,2568,10,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000011,วัสดุใช้ไป,ลูกยางกดน้ำมัน สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,ลูก,50.00,2568,11,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000012,วัสดุใช้ไป,โซ่ สำหรับเลื่อยยนต์ ขนาด 11.5 นิ้ว,วัสดุการเกษตร,วัสดุการเกษตร,เส้น,630.00,2568,12,ในแผน,0.00,0.00,3.00,"1,890.00",3.00,"1,890.00",กลุ่มงานบริหารทั่วไป
P230-000013,วัสดุใช้ไป,กรรไกร ชนิดตัดต้นไม้ต่ำ สำหรับตัดแต่งกิ่ง,วัสดุการเกษตร,วัสดุการเกษตร,อัน,300.00,2568,13,ในแผน,0.00,0.00,4.00,"1,200.00",4.00,"1,200.00",กลุ่มงานบริหารทั่วไป
P230-000014,วัสดุใช้ไป,จาระบี สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,กระปุก,120.00,2568,14,ในแผน,0.00,0.00,1.00,120.00,1.00,120.00,กลุ่มงานบริหารทั่วไป
P230-000015,วัสดุใช้ไป,ใบมีด สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,100.00,2568,15,ในแผน,0.00,0.00,10.00,"1,000.00",10.00,"1,000.00",กลุ่มงานบริหารทั่วไป
P230-000016,วัสดุใช้ไป,เลื่อย ชนิดขอชัก สำหรับตัดแต่งกิ่ง,วัสดุการเกษตร,วัสดุการเกษตร,อัน,300.00,2568,16,ในแผน,0.00,0.00,2.00,600.00,2.00,600.00,กลุ่มงานบริหารทั่วไป
P230-000017,วัสดุใช้ไป,สายยาง สำหรับรดน้ำต้นไม้ ขนาด 5/8 นิ้ว,วัสดุการเกษตร,วัสดุการเกษตร,เส้น,360.00,2568,17,ในแผน,0.00,0.00,3.00,"1,080.00",3.00,"1,080.00",กลุ่มงานบริหารทั่วไป
P230-000018,วัสดุใช้ไป,สายสะพาย สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,160.00,2568,18,ในแผน,0.00,0.00,2.00,320.00,2.00,320.00,กลุ่มงานบริหารทั่วไป
P230-000019,วัสดุใช้ไป,หัวเทียน สำหรับเครื่องตัดหญ้า,วัสดุการเกษตร,วัสดุการเกษตร,อัน,30.00,2568,19,ในแผน,0.00,0.00,2.00,60.00,2.00,60.00,กลุ่มงานบริหารทั่วไป
P230-000020,วัสดุใช้ไป,คีย์บอร์ด แบบ USB,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,อัน,320.00,2568,20,ในแผน,1.00,320.00,20.00,"6,400.00",19.00,"6,080.00",กลุ่มงานบริหารทั่วไป
P230-000021,วัสดุใช้ไป,ซองใส่ CD แบบใส (50 ซอง/แพค),วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,แพค,70.00,2568,21,ในแผน,9.00,630.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000022,วัสดุใช้ไป,ผ้าหมึก Printer ชนิดแคร่สั้น แบบ LQ300,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,170.00,2568,22,ในแผน,8.00,"1,360.00",0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000023,วัสดุใช้ไป,ผ้าหมึก Printer ชนิดแคร่สั้น แบบ LQ310,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,150.00,2568,23,ในแผน,44.00,"6,600.00",10.00,"1,500.00",0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000024,วัสดุใช้ไป,แผ่น CD-R (50 ซอง/แพค),วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หลอด,280.00,2568,24,ในแผน,9.00,"2,520.00",0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000025,วัสดุใช้ไป,เม้าท์ แบบ USB,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,อัน,250.00,2568,25,ในแผน,0.00,0.00,22.00,"5,500.00",22.00,"5,500.00",กลุ่มงานบริหารทั่วไป
P230-000026,วัสดุใช้ไป,สาย LAN,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,"3,950.00",2568,26,ในแผน,0.00,0.00,1.00,"3,950.00",1.00,"3,950.00",กลุ่มงานบริหารทั่วไป
P230-000027,วัสดุใช้ไป,หมึก Printer Ink jet GT53 สีดำ,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,390.00,2568,27,ในแผน,5.00,"1,950.00",1.00,390.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000028,วัสดุใช้ไป,หมึก Printer Ink jet GT52 สีชมพู,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,390.00,2568,28,ในแผน,7.00,"2,730.00",0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000029,วัสดุใช้ไป,หมึก Printer Ink jet GT52 สีฟ้า,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,390.00,2568,29,ในแผน,7.00,"2,730.00",0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000030,วัสดุใช้ไป,หมึก Printer Ink jet GT52 สีเหลือง,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,390.00,2568,30,ในแผน,7.00,"2,730.00",0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000031,วัสดุใช้ไป,หมึก Printer Ink jet L5190 สีชมพู,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,350.00,2568,31,ในแผน,4.00,"1,400.00",0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000032,วัสดุใช้ไป,หมึก Printer Ink jet L5190 สีดำ,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,350.00,2568,32,ในแผน,3.00,"1,050.00",0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000033,วัสดุใช้ไป,หมึก Printer Ink jet L5190 สีฟ้า,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,350.00,2568,33,ในแผน,2.00,700.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000034,วัสดุใช้ไป,หมึก Printer Ink jet L5190 สีเหลือง,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,350.00,2568,34,ในแผน,2.00,700.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000035,วัสดุใช้ไป,หมึก Printer Ink jet T6641 สีดำ,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,290.00,2568,35,ในแผน,3.00,870.00,13.00,"3,770.00",10.00,"2,900.00",กลุ่มงานบริหารทั่วไป
P230-000036,วัสดุใช้ไป,หมึก Printer Ink jet T6641 สีฟ้า,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,290.00,2568,36,ในแผน,3.00,870.00,4.00,"1,160.00",1.00,290.00,กลุ่มงานบริหารทั่วไป
P230-000037,วัสดุใช้ไป,หมึก Printer Ink jet T6641 สีชมพู,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,290.00,2568,37,ในแผน,3.00,870.00,4.00,"1,160.00",1.00,290.00,กลุ่มงานบริหารทั่วไป
P230-000038,วัสดุใช้ไป,หมึก Printer Ink jet T6641 สีเหลือง,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,290.00,2568,38,ในแผน,3.00,870.00,4.00,"1,160.00",1.00,290.00,กลุ่มงานบริหารทั่วไป
P230-000039,วัสดุใช้ไป,ยกเลิก หมึก Printer Ink jet T7741 สีดำ,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,700.00,2568,39,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000040,วัสดุใช้ไป,หมึก Printer Laser 107A,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,990.00,2568,40,ในแผน,0.00,0.00,90.00,"89,100.00",90.00,"89,100.00",กลุ่มงานบริหารทั่วไป
P230-000041,วัสดุใช้ไป,หมึก Printer Laser 225,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,430.00,2568,41,ในแผน,0.00,0.00,30.00,"12,900.00",30.00,"12,900.00",กลุ่มงานบริหารทั่วไป
P230-000042,วัสดุใช้ไป,หมึก Printer Laser 30A,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,890.00,2568,42,ในแผน,10.00,"8,900.00",34.00,"30,260.00",24.00,"21,360.00",กลุ่มงานบริหารทั่วไป
P230-000043,วัสดุใช้ไป,หมึก Printer Laser 355,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,670.00,2568,43,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000044,วัสดุใช้ไป,หมึก Printer Laser 472,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,980.00,2568,44,ในแผน,6.00,"5,880.00",3.00,"2,940.00",0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000045,วัสดุใช้ไป,หมึก Printer Laser 48A,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,"1,190.00",2568,45,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000046,วัสดุใช้ไป,หมึก Printer Laser 79A,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,690.00,2568,46,ในแผน,0.00,0.00,4.00,"2,760.00",4.00,"2,760.00",กลุ่มงานบริหารทั่วไป
P230-000047,วัสดุใช้ไป,หมึก Printer Laser 83A,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,390.00,2568,47,ในแผน,4.00,"1,560.00",1.00,390.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000048,วัสดุใช้ไป,หมึก Printer Laser 85A,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,390.00,2568,48,ในแผน,0.00,0.00,2.00,780.00,2.00,780.00,กลุ่มงานบริหารทั่วไป
P230-000049,วัสดุใช้ไป,หมึก Printer Laser Fuji m285Z P235,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,980.00,2568,49,ในแผน,6.00,"5,880.00",144.00,"141,120.00",138.00,"135,240.00",กลุ่มงานบริหารทั่วไป
P230-000050,วัสดุใช้ไป,ยกเลิก หมึก Printer Laser TN-2060,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,490.00,2568,50,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000051,วัสดุใช้ไป,หัว LAN,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,"1,400.00",2568,51,ในแผน,0.00,0.00,1.00,"1,400.00",1.00,"1,400.00",กลุ่มงานบริหารทั่วไป
P230-000052,วัสดุใช้ไป,ยกเลิก Hardisk ชนิด SATA/SSD External ขนาด 1 Tb,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,อัน,"1,800.00",2568,52,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000053,วัสดุใช้ไป,ยกเลิก Hardisk ชนิด Surveillance สำหรับกล้องวงจรปิด (NVR) ขนาด 4 Tb,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,อัน,"3,790.00",2568,53,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000054,วัสดุใช้ไป,ยกเลิก สาย LAN ชนิด CAT5 ขนาด 305 เมตร/กล่อง,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,"2,750.00",2568,54,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000055,วัสดุใช้ไป,ยกเลิก หมึก Printer Laser 230A,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,กล่อง,890.00,2568,55,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000056,วัสดุใช้ไป,ยกเลิก หัว LAN ชนิด CAT5 10 อัน/pack,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,pack,60.00,2568,56,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000057,วัสดุใช้ไป,หมึก Printer Ink jet Epson 003 สีชมพู,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,290.00,2568,57,ในแผน,3.00,870.00,5.00,"1,450.00",2.00,580.00,กลุ่มงานบริหารทั่วไป
P230-000058,วัสดุใช้ไป,หมึก Printer Ink jet Epson 003 สีดำ,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,290.00,2568,58,ในแผน,0.00,0.00,6.00,"1,740.00",6.00,"1,740.00",กลุ่มงานบริหารทั่วไป
P230-000059,วัสดุใช้ไป,หมึก Printer Ink jet Epson 003 สีฟ้า,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,290.00,2568,59,ในแผน,3.00,870.00,6.00,"1,740.00",3.00,870.00,กลุ่มงานบริหารทั่วไป
P230-000060,วัสดุใช้ไป,หมึก Printer Ink jet Epson 003 สีเหลือง,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ขวด,290.00,2568,60,ในแผน,3.00,870.00,6.00,"1,740.00",3.00,870.00,กลุ่มงานบริหารทั่วไป
P230-000061,วัสดุใช้ไป,"กรวยกระดาษ สำหรับดื่มน้ำ ขนาดบรรจุ 5,000 ใบ",วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ลัง,900.00,2568,61,ในแผน,0.00,0.00,15.00,"13,500.00",15.00,"13,500.00",กลุ่มงานบริหารทั่วไป
P230-000062,วัสดุใช้ไป,กระดาษชำระ ขนาดเล็ก,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ม้วน,6.00,2568,62,ในแผน,156.00,936.00,20.00,120.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000063,วัสดุใช้ไป,กระดาษชำระ ชนิดม้วน แบบ 2 ชั้น ขนาดยาว 300 เมตร,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ม้วน,65.00,2568,63,ในแผน,25.00,"1,625.00",819.00,"53,235.00",794.00,"51,610.00",กลุ่มงานบริหารทั่วไป
P230-000064,วัสดุใช้ไป,กระดาษเช็ดมือ,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ม้วน,60.00,2568,64,ในแผน,0.00,0.00,"4,722.00","283,320.00","4,722.00","283,320.00",กลุ่มงานบริหารทั่วไป
P230-000065,วัสดุใช้ไป,กระทะไฟฟ้า แบบเคลือบและมีซึ้ง,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ชุด,"1,290.00",2568,65,ในแผน,0.00,0.00,1.00,"1,290.00",1.00,"1,290.00",กลุ่มงานบริหารทั่วไป
P230-000066,วัสดุใช้ไป,กระป๋องฉีดน้ำ,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,อัน,35.00,2568,66,ในแผน,0.00,0.00,50.00,"1,750.00",50.00,"1,750.00",กลุ่มงานบริหารทั่วไป
P230-000067,วัสดุใช้ไป,กล่องใส่กระดาษเช็ดมือ,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ใบ,500.00,2568,67,ในแผน,0.00,0.00,4.00,"2,000.00",4.00,"2,000.00",กลุ่มงานบริหารทั่วไป
P230-000068,วัสดุใช้ไป,กล่องใส่สบู่เหลว แบบติดผนัง,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ใบ,300.00,2568,68,ในแผน,0.00,0.00,3.00,900.00,3.00,900.00,กลุ่มงานบริหารทั่วไป
P230-000069,วัสดุใช้ไป,ก้อนดับกลิ่น,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ก้อน,35.00,2568,69,ในแผน,65.00,"2,275.00",375.00,"13,125.00",310.00,"10,850.00",กลุ่มงานบริหารทั่วไป
P230-000070,วัสดุใช้ไป,เกลือเม็ด,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,12.00,2568,70,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000071,วัสดุใช้ไป,แก้วน้ำ แบบทรงสูง,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ใบ,15.00,2568,71,ในแผน,12.00,180.00,6.00,90.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000072,วัสดุใช้ไป,แก้วน้ำ ชนิดพลาสติก ขนาด 4 ออนซ์,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ใบ,1.00,2568,72,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000073,วัสดุใช้ไป,แก้วน้ำ ชนิดพลาสติก ขนาด 6 ออนซ์,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ใบ,1.00,2568,73,ในแผน,"6,750.00","6,750.00","10,000.00","10,000.00","3,250.00","3,250.00",กลุ่มงานบริหารทั่วไป
P230-000074,วัสดุใช้ไป,แก้วน้ำ ชนิดอลูมิเนียม,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ใบ,30.00,2568,74,ในแผน,8.00,240.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000075,วัสดุใช้ไป,ขวดปั๊ม ชนิดพลาสติก สำหรับใส่น้ำยาแอลกอฮอล์,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ขวด,40.00,2568,75,ในแผน,0.00,0.00,8.00,320.00,8.00,320.00,กลุ่มงานบริหารทั่วไป
P230-000076,วัสดุใช้ไป,ขันน้ำ ชนิดพลาสติก แบบมีด้าม,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ใบ,25.00,2568,76,ในแผน,10.00,250.00,8.00,200.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000077,วัสดุใช้ไป,ข่า,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,60.00,2568,77,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000078,วัสดุใช้ไป,ขิง,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,60.00,2568,78,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
